src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.122.125;192;168;122;125;26.146137863028635;3.275884376929194
192.168.122.126;192;168;122;126;27.146112064037236;3.2830675041881627
192.168.122.127;192;168;122;127;28.14608626504583;3.2902506314471314
192.168.122.128;192;168;122;128;29.14606046605443;3.297433758706099
192.168.122.129;192;168;122;129;30.146034667063024;3.304616885965068
192.168.122.131;192;168;122;131;32.145983069080216;3.318983140483006
192.168.122.132;192;168;122;132;33.14595727008881;3.3261662677419745
192.168.122.133;192;168;122;133;34.14593147109742;3.3333493950009423
192.168.122.135;192;168;122;135;36.1458798731146;3.34771564951888
192.168.122.149;192;168;122;149;50.14551868723497;3.448279431144442
192.168.122.150;192;168;122;150;51.14549288824357;3.45546255840341
192.168.122.154;192;168;122;154;55.145389692277945;3.484195067439284
192.168.122.207;192;168;122;207;108.14402234573362;3.8649008121646222
192.168.122.216;192;168;122;216;117.14379015481099;3.9295489574953395
192.168.122.248;192;168;122;248;149.1429645870861;4.159409029782338
192.168.123.4;192;168;123;4;-94.84355733175266;1.4067517775853926
192.168.123.5;192;168;123;5;-93.84358313074407;1.4139349048443615
192.168.123.6;192;168;123;6;-92.84360892973547;1.4211180321033299
192.168.123.7;192;168;123;7;-91.84363472872687;1.4283011593622985
192.168.123.8;192;168;123;8;-90.84366052771827;1.435484286621267
192.168.123.9;192;168;123;9;-89.84368632670969;1.442667413880236
192.168.123.10;192;168;123;10;-88.84371212570109;1.4498505411392046
192.168.123.11;192;168;123;11;-87.84373792469249;1.4570336683981733
192.168.123.12;192;168;123;12;-86.84376372368389;1.4642167956571417
192.168.123.13;192;168;123;13;-85.84378952267528;1.4713999229161105
192.168.123.14;192;168;123;14;-84.84381532166668;1.4785830501750792
192.168.123.15;192;168;123;15;-83.8438411206581;1.4857661774340476
192.168.123.16;192;168;123;16;-82.8438669196495;1.4929493046930165
192.168.125.1;192;168;125;1;-97.82911368026052;-0.6147460062087043
192.168.125.7;192;168;125;7;-91.82926847420894;-0.5716472426548925
192.168.125.10;192;168;125;10;-88.82934587118315;-0.5500978608779865
192.168.125.15;192;168;125;15;-83.82947486614017;-0.5141822245831433
192.168.125.17;192;168;125;17;-81.82952646412296;-0.499815970065206
192.168.125.19;192;168;125;19;-79.82957806210577;-0.48544971554726873
192.168.125.25;192;168;125;25;-73.82973285605419;-0.4423509519934569
192.168.125.28;192;168;125;28;-70.8298102530284;-0.42080157021655107
192.168.125.36;192;168;125;36;-62.83001664495961;-0.36333655214480176
192.168.125.37;192;168;125;37;-61.83004244395102;-0.3561534248858332
192.168.125.39;192;168;125;39;-59.83009404193382;-0.34178717036789596
192.168.125.41;192;168;125;41;-57.830145639916644;-0.32742091584995875
192.168.125.44;192;168;125;44;-54.830223036890835;-0.30587153407305273
192.168.125.47;192;168;125;47;-51.83030043386505;-0.28432215229614677
192.168.125.49;192;168;125;49;-49.83035203184785;-0.26995589777820944
192.168.125.50;192;168;125;50;-48.83037783083926;-0.2627727705192408
192.168.125.52;192;168;125;52;-46.830429428822065;-0.24840651600130356
192.168.125.53;192;168;125;53;-45.83045522781346;-0.24122338874233484
192.168.125.55;192;168;125;55;-43.83050682579627;-0.22685713422439757
192.168.125.56;192;168;125;56;-42.83053262478767;-0.21967400696542896
192.168.125.57;192;168;125;57;-41.830558423779074;-0.2124908797064603
192.168.125.59;192;168;125;59;-39.83061002176188;-0.19812462518852306
192.168.125.62;192;168;125;62;-36.83068741873608;-0.1765752434116171
192.168.125.70;192;168;125;70;-28.830893810667305;-0.11911022533986797
192.168.125.74;192;168;125;74;-24.830997006632916;-0.09037771630399336
192.168.125.81;192;168;125;81;-17.83117759957274;-0.04009582549121284
192.168.125.82;192;168;125;82;-16.83120339856414;-0.03291269823224421
192.168.125.88;192;168;125;88;-10.831358192512559;0.01018606532156764
192.168.125.113;192;168;125;113;14.167996832702375;0.18976424679578374
192.168.125.132;192;168;125;132;33.16750665186572;0.326243664716188
192.168.125.133;192;168;125;133;34.16748085287432;0.3334267919751566
192.168.125.140;192;168;125;140;41.1673002599345;0.3837086827879371
192.168.125.177;192;168;125;177;78.1663456972526;0.6494843913697769
192.168.125.216;192;168;125;216;117.1653395365879;0.9296263544695541
192.168.127.1;192;168;127;1;-97.81474742574258;-2.6146944082258954
192.168.127.4;192;168;127;4;-94.81482482271679;-2.593145026448989
192.168.127.5;192;168;127;5;-93.8148506217082;-2.585961899190021
192.168.127.6;192;168;127;6;-92.8148764206996;-2.578778771931052
192.168.127.8;192;168;127;8;-90.81492801868242;-2.5644125174131145
192.168.127.12;192;168;127;12;-86.81503121464803;-2.5356800083772404
192.168.127.13;192;168;127;13;-85.81505701363942;-2.5284968811182713
192.168.127.14;192;168;127;14;-84.81508281263083;-2.5213137538593027
192.168.127.15;192;168;127;15;-83.81510861162224;-2.5141306266003345
192.168.127.17;192;168;127;17;-81.81516020960503;-2.4997643720823968
192.168.127.19;192;168;127;19;-79.81521180758784;-2.4853981175644604
192.168.127.21;192;168;127;21;-77.81526340557065;-2.4710318630465222
192.168.127.22;192;168;127;22;-76.81528920456205;-2.463848735787553
